bear_vix_mean,seed,model,accuracy,macro_f1,bear_f1,bull_f1
40.0,6,Changepoint,0.8379819524200164,0.8293937517660575,0.7911158117398202,0.8676716917922948
40.0,7,HMM,0.5849056603773585,0.5796737911977458,0.5327793167128347,0.6265682656826568
40.0,7,GMM,0.6201804757998359,0.6033641142407375,0.5216942148760331,0.6850340136054421
40.0,7,Changepoint,0.5853158326497129,0.5800501421375408,0.5330254041570439,0.6270748801180376
40.0,8,HMM,0.850287120590648,0.822474040017803,0.7522063815342838,0.8927416985013223
40.0,8,GMM,0.8580803937653815,0.8321658230668831,0.7662162162162162,0.8981154299175501
40.0,8,Changepoint,0.8264971287940935,0.8004378364539775,0.7283236994219653,0.8725519734859898
40.0,9,HMM,0.7292863002461034,0.6924252051225,0.5859473023839398,0.7989031078610603
40.0,9,GMM,0.6751435602953241,0.5987121520079606,0.42358078602620086,0.7738435179897202
40.0,9,Changepoint,0.15627563576702214,0.13757559592382618,0.2645691812656418,0.010582010582010581
